Latitude,Longitude,EarthquakeProne
63943.04041898992,2502.050511511471,1
24489.94048849382,13954.653314585865,0
67670.27204280371,89218.06459091684,0
59049.660752391515,3179.2361654988777,0
21864.578842385534,50536.02345504813,0
56124.94504879836,71602.24527262742,1
22044.84176344763,58926.979121906996,0
75880.9779056096,15966.771978372635,1
34025.71140128267,15548.794501678343,1
10221.92544170835,37993.3501364331,1
84749.58914037963,60372.99941065774,0
72973.4489375951,53623.27291737862,1
7880.941007647739,29318.534962427882,1
57735.637173530944,70457.47904965613,0
66126.67059345245,77307.0610105284,0
85531.91678379367,86648.5001918602,1
27798.0823374061,63568.80874199575,1
16266.247061511325,35527.71475205192,1
70182.32952554167,68355.0830060012,0
60913.491435693155,17114.6936811615,0
16341.085973699077,37946.164720323024,0
68461.74048473647,84285.34916706078,0
22905.578148338474,3210.992290159872,1
40117.07753744587,6619.794332549512,1
21263.44177887001,49923.62671796824,1
14288.016172615824,13963.892322231106,1
74701.63415141414,42843.954295630676,1
36200.282374917384,99732.5804731381,0
50953.119841352775,9091.850307967215,0
86110.42986375692,15284.979093506758,0
79208.14435693205,42216.5745200016,0
38477.34640013833,59589.24694768445,1
52911.9053955686,97107.8666829842,0
68028.6607422416,11456.05974662568,1
76860.10466701194,34018.20712763149,1
43477.09030165983,45372.91690921431,1
97188.83799891255,76196.45794300741,0
87051.98646510685,29845.18070007184,0
15284.774015694931,76251.31749671506,0
59894.85950143844,48861.082197186755,0
92909.93252784545,87872.3090604406,1
23945.991581495542,24087.918373130862,0
8566.259553335809,48599.56034119806,0
97798.47138323974,53271.08424678203,0
12840.01805851178,47528.76252749503,0
26506.39783737697,87243.43167548465,1
96436.32623783952,92891.42038672468,0
71295.18433293936,39899.83100744292,1
43810.57029136649,51758.06652771802,0
24791.313460987127,6403.525606738166,0
58831.28353700488,23012.2431449251,0
720.0767076703688,70784.38681389886,0
22894.949439331627,90542.0958805998,1
7086.664131515456,23801.225432265153,1
21424.46650023649,13232.052560653774,1
24300.481242330054,47297.82132151642,1
19041.80102627341,9693.984492068104,1
35430.40236138879,41110.81650269775,0
67336.78136478286,98416.53697138524,0
6062.206795027288,72821.63063052982,0
24866.384735694643,19021.70063517271,1
14019.089527180353,18349.62009068754,1
24981.39498176217,92326.63666200201,1
80802.41645092552,85596.83327994481,0
5059.782364158599,99928.24755880424,0
96899.65673221785,92636.77193382975,0
16631.944749280796,48564.626903946395,0
86465.17475262751,90244.38410818935,0
37897.93292457263,98530.89906912882,1
92651.88083785978,78513.15055005536,1
42301.3255915303,95731.80676832645,1
15480.52773058114,29671.485841630925,0
57918.4499013348,54219.97794222605,1
5717.4701254754,58418.175268302664,0
5688.901093288723,50783.34187084485,0
6853.064749046531,6797.018376712348,0
40378.15135627643,94159.6711267817,0
57892.32683166356,3975.12648724415,0
41923.07230867191,58367.64525683318,1
93470.69106738499,20426.71568315422,1
23869.356575631988,39579.18889327866,1
45723.00003247263,92901.90415221971,0
932.5363729677556,62116.30439005379,0
7326.9988492422,21316.218072391774,1
13246.524580076362,34901.53448761654,0
87927.1449782118,36953.33934679966,0
43819.019116197975,54322.25300819642,1
61168.164894829286,98723.3191300868,0
66786.65250805464,55460.67364668529,0
93893.06146270646,13429.977148222379,0
88971.38098786391,74241.92598141589,0
27235.548883269315,60483.377873195364,1
20360.527635432965,63424.16165054909,1
50541.40040074062,25112.87408573734,0
9230.75447280563,42358.15368060007,1
4409.632093143203,33356.32030397021,0
63711.70061676066,26196.264288172384,1
55168.490432218,42769.264211148955,0
11188.276185052911,94505.14885372487,0
54559.48333026303,83459.66739358178,0
42979.2415013643,4183.8439880276155,1
89898.24989277025,79612.43436649928,0
89892.56472801093,21008.443757437064,0
66693.67413014367,35368.50978282722,1
97383.72842670626,74948.01163674278,0
86460.70501630018,97620.62708706336,0
88141.73905012777,2479.611403456974,1
78238.86722826702,41171.90494198881,0
26681.30415373761,78737.66353903798,0
38254.78971797083,3873.422041970979,1
22244.149320848897,81658.8439730873,1
34966.49278616742,82053.81756077523,0
22293.131797033693,66003.65824168015,1
32826.866857819456,86435.4298500866,1
35115.26176214614,50941.05814712821,1
93923.77479533125,11535.059843390907,1
17857.603049430192,96253.46904183978,1
3826.6814781289186,59657.52892751948,1
72854.77752020978,31368.417742184927,0
38520.15813903937,57659.22776161646,1
4439.608984789395,43606.315487981774,0
36422.782956654635,6998.311138819892,1
62315.91783923097,66339.08423907816,0
71975.70654713201,30032.926498858207,1
66689.62351766886,32618.96430283513,1
55441.6933542017,19184.81745892176,1
67732.11720932802,90280.65176771254,1
40608.110800647526,83372.68320523645,1
28692.08477317585,42989.38511083347,1
46499.35403651118,44216.53777068144,0
51117.88851346183,79373.7461752011,0
65885.41564909718,28379.35671289775,1
9339.626620356192,95200.01424558507,0
67279.89426004615,22464.84195906283,0
14736.248870615023,4622.32559555775,1
61127.78603209495,76849.16541068068,1
41444.68665876094,62976.90830839063,0
71834.87320398337,38398.46276080774,1
24399.199973404306,65606.14505316729,0
89266.08996131044,86044.19610168671,0
77842.26225632573,21884.89484009513,1
5022.788295678952,24920.578767717507,0
45646.72608519178,80141.85875562472,1
95004.01080470716,89142.70115511789,1
83057.08640297178,54787.64718913223,0
74365.80056051633,47467.96900786851,1
75177.92687326465,83986.44892130424,1
76581.60261603225,52130.45998298538,0
27460.47009430691,7749.2579031197165,1
23450.12330788552,33585.41781459477,0
13838.267777554056,23126.91671133895,0
70642.20775031352,6423.820842537093,1
33088.80822241732,46592.96441081171,0
20684.23211705151,42014.93163382479,0
85673.34649836112,76559.69201723083,1
47698.496276003134,94274.22300175225,1
75347.75903081353,85344.9416089599,1
53822.51854045554,73463.67144157502,0
48823.4595255475,27294.258241013897,1
2903.4529698515776,33613.61824029455,1
72418.41358135124,84050.7258005928,0
98072.2170299148,53412.82882962091,1
59189.68567001546,66300.31268385929,0
64275.32205128557,13570.813023569193,1
18173.7209223167,26016.371235616552,1
21166.81676086394,32685.253642325973,1
27826.38330726496,95120.46078193632,1
25227.900906706276,8191.541369931493,0
74902.67708402399,5209.508738717304,1
22422.992349809098,6862.768426906489,0
75423.56617274856,94961.22365986617,0
83923.04539961353,62133.9443229592,0
12622.971266445751,66946.21500314644,0
46503.93330953864,25625.113412522096,1
16779.74654763686,60725.14214159928,0
77779.41082565709,16377.417250909748,1
10810.766867011,2568.8168713211044,1
57580.097044513,90802.7070785934,1
39666.04749722122,71501.75549024179,0
59210.19402712397,83057.33280639806,0
10191.028643292208,77248.31601423745,0
79622.9254328046,56593.68960417622,0
34721.02932707959,42838.37294546121,1
6896.604695227532,64754.677862426455,0
84957.71312433074,82233.26947808772,0
43352.90660918352,36219.4416614687,1
70731.15706196398,43549.2790136227,1
61591.61949300105,91961.8460726198,1
46487.912289679145,82573.63410747713,1
32231.13599352884,24550.27141419999,0
27893.545990997824,45080.749217376855,1
56985.39461818754,66819.17885607891,1
2870.971077011188,85095.4326784096,0
48755.505689202044,35483.14179264335,1
34034.5439775852,88032.11765584278,1
55579.54700093046,51663.2085442417,0
8562.210582840167,72007.74633575532,1
55518.0659819745,24033.15328848543,1
64590.644071195486,49082.64268652354,0
9306.242002116613,22160.418450852543,0
30621.29680697871,58155.976977651386,1
55347.74202806995,34376.39565722611,1
35181.700950889215,45375.072540055,1
25141.11621641795,12066.46781934583,0
31555.478852654647,74288.36348284676,0
19154.905760081463,73860.72674624156,1
72458.77552430406,97660.7256812828,1
98051.08253562085,83263.00370434346,1
22749.088865091988,17944.97492699665,0
70802.14055261742,12659.169401838315,0
97429.51881534269,55336.34332089403,0
63787.32764093765,75279.46478694958,0
87272.10078011846,57406.8478984136,1
47871.942146431196,34071.25255009667,0
25248.586570906766,86172.4347397867,0
82211.74241429774,40071.343517751724,0
57702.538625925336,68645.4153745834,0
14920.609249781042,56284.39686885934,1
8519.005658714608,24819.847330056404,1
60632.158806645035,79074.2922435121,0
77569.57827628203,38038.42223662879,1
29736.01589860622,58852.92534697157,1
30538.71905169172,62103.11107989378,0
94759.07244233748,20779.58279444931,0
26465.347882875452,8119.665359232963,0
17382.181019095122,7507.411825247891,0
40852.348748430006,68937.42420734112,1
29126.63764381373,23148.39197936803,1
70299.05282181362,45403.678609377916,0
92391.18053721038,78783.01483664649,0
42514.47147145506,54456.693308679154,0
90841.23610981539,82663.28933384632,0
5964.744313345192,79263.06399467493,1
43915.905713925065,46870.32832964591,1
69973.66876388676,94267.68139816333,1
43776.44859829623,59804.06816744832,1
73453.65779463825,60371.760380950116,0
9133.59733621189,96191.14830818148,0
99957.24211532826,67228.48614873963,1
57625.12221329008,76311.13730816638,0
47050.61182434011,65151.297433879205,1
18149.73323316537,58533.37719816016,1
96905.5545513343,47001.56948564021,1
33331.506058115534,67013.68081860902,0
32981.03655423296,69367.67372466926,1
66258.69111560589,40045.82502911083,0
45483.136034264346,31452.40119985962,1
11593.044221494356,77255.02005605474,0
65766.38098792642,54259.81684212515,1
5421.354333587484,51844.42080668042,1
62541.248805758754,75999.29361556564,0
26706.356771054972,13102.191881815703,1
43812.17139114275,69825.30466218811,0
2887.915374723881,63002.59767812905,0
70978.57272720081,31075.703089195114,0
55225.58865396425,9321.826918950974,0
46145.32796998416,11747.497442806665,0
49838.05209521482,71660.61599585312,1
41549.61880319237,48250.47519620867,1
24373.84687660776,55126.956422970085,1
19061.846484421883,59938.16048989132,0
86402.82941592438,27625.464034801276,1
33988.184436186435,78771.95285902366,1
82055.12676908464,28284.61548929938,1
83747.75478471952,57992.75846495653,1
86526.19420942957,44655.29275692641,1
34513.04904535906,55192.18978966403,1
45535.00634203324,32178.41324555351,0
98077.4823586281,23881.315611080765,1
23357.011043343253,77554.67196545079,0
31818.314547052752,47298.15204779119,1
38608.48917034574,66369.21925962398,0
49533.36963299273,3702.924114946273,1
86970.16163590818,87419.16321505677,1
9972.070062500099,91044.257327969,0
72244.66031323669,40998.451996016694,0
7483.749996122638,78152.74760201121,1
33856.78484390912,69270.76715408961,0
85176.6774697768,85234.28131525274,1
95414.005122675,62680.29110161977,1
87238.42935683623,3590.87408466882,0
23477.789539959052,68440.27304101727,1
99742.59486969857,74676.88990742595,1
97833.79448432634,76037.20892973355,0
44368.41148761892,69400.42227816067,0
4600.050876752598,79614.55037275601,1
35846.97576669405,43069.24809875215,0
53117.100648557855,56593.24026353176,0
16999.19492316067,7897.756097648804,1
61971.417143373,24083.738355839447,0
23219.612241070932,63790.82519572585,1
25533.415489207244,940.7337480556492,1
90121.0411504647,67761.41095902225,0
7387.116166387015,94523.61825782967,1
63894.23129729886,42431.46953715131,1
45684.12443096598,30212.864932160825,1
85333.69253055991,10666.22008896867,1
57192.69731238154,57481.61820593433,1
2194.9378463586413,83003.9261117229,1
27448.763537442595,56593.33576655294,0
91061.78475491733,74517.47024124287,1
77574.32221935848,23012.60897865066,1
21901.234888271618,19014.008795719554,1
67776.76809787731,72093.11673869423,0
62825.18212058614,90340.46700359271,0
30893.979462379655,44082.878193091,1
73236.24443415589,9014.247441246147,1
32672.585852275326,41550.89383878432,0
13216.847614880608,53941.23649068312,1
53085.7065179048,91348.78396119521,0
25697.75148624167,82469.15656442818,1
96738.44023260505,29514.849775800012,1
80423.44962791246,46833.67055388068,0
14076.560743573262,96650.05444606574,1
96727.00746025593,80458.95981441217,1
9031.19725398276,39458.06145831087,1
53657.69425459764,45479.147987359735,1
58456.42460512495,82241.9077053762,1
10835.50187382087,23382.956399256105,0
61955.06715758591,94316.97043664884,1
91525.6756184072,22137.49864019893,0
63540.75683387153,46427.28936473171,1
64924.29538901282,11668.476996768719,0
94626.20702666174,30437.154071016164,1
11612.931952030225,23480.768443100475,0
38865.1944691831,37101.78053717279,1
58734.447214515196,72660.1884565736,1
65492.5348274489,83369.47463654885,1
93905.36751829981,27974.734268438777,1
21727.75120007146,44470.141282048564,0
85545.16388040215,9936.363105988425,1
54447.04168235301,97784.27510267522,1
6055.948366571709,27588.868204717823,0
94901.12981542549,82419.2840020752,0
66277.21103745974,64170.80501885453,0
5058.800487776637,33351.582134095166,0
78698.02301953161,20521.3523087125,0
58638.72197507261,81305.48505912477,0
32856.62678366961,14756.27043996443,0
27728.207322722323,98402.82915664205,0
54022.005470858276,79851.5838419388,0
66106.10320208909,2578.98919847005,0
35824.86967937407,78843.36501383723,1
1579.0925700325142,26537.48546498901,0
74172.06397735799,52609.02657426011,0
47625.1202963596,77801.92591438096,0
45201.08998545531,22155.754092072082,0
72724.57247337635,90875.26003896611,1
